id,item_num,key_field,qty,name,category,serial_no,turnover_ytd,turnover_ltd,repair_cost_ytd,sell_price,current_store,inactive,pos_store_code,rfid_rental_class_num
66112,64551.0,,0,"12""X18"" 100 GRIT SANDSCREEN","Sales, Equip. Related",,0.0,0.0,0.0,8.95,2.0,0,,
66113,64553.0,,0,"HARDWOOD FL. STAPLES,2""","Sales, Equip. Related",,0.0,0.0,0.0,6.99,0.0,0,,
66115,64556.0,,0,"HARDWOOD FLOOR NAILS,1000","Sales, Equip. Related",,0.0,0.0,0.0,24.95,0.0,0,,
66117,64559.0,,0,#K100 PKG 10 NAILS & LOADS,"Sales, Equip. Related",,0.0,0.0,0.0,2.5,0.0,0,,
66119,64562.0,,0,#K125 PKG 10 NAILS & LOADS,"Sales, Equip. Related",,0.0,0.0,0.0,2.5,0.0,0,,
66121,64565.0,,0,#K150 PKG 10 NAILS & LOADS,"Sales, Equip. Related",,0.0,0.0,0.0,2.5,0.0,0,,
66123,64568.0,,0,#K200 PKG 10 NAILS & LOADS,"Sales, Equip. Related",,0.0,0.0,0.0,2.5,0.0,0,,
66125,64571.0,,0,K250 1PKG 10 NAILS & LOADS,"Sales, Equip. Related",,0.0,0.0,0.0,2.5,0.0,0,,
66127,64574.0,,0,ENVIRONMENTAL FEE,"Sales, Merchandise Equip.",,0.0,0.0,0.0,5.0,0.0,0,,
66128,64575.0,,0,ENVIRONMENTAL FEE,"Sales, Merchandise Equip.",,0.0,0.0,0.0,5.0,2.0,0,,
66129,64577.0,,0,"SEAMING TAPE, 22 FT. ROLL","Sales, Merchandise Equip.",,0.0,0.0,0.0,6.95,0.0,0,,
66130,64578.0,,0,"SEAMING TAPE, 22 FT. ROLL","Sales, Merchandise Equip.",,0.0,0.0,0.0,6.95,2.0,0,,
66131,64580.0,,0,PAINT STRAINER 5 GAL.,"Sales, Merchandise Equip.",,0.0,0.0,0.0,1.5,0.0,0,,
66132,64581.0,,0,PAINT STRAINER 5 GAL.,"Sales, Merchandise Equip.",,0.0,0.0,0.0,1.5,2.0,0,,
66141,64592.0,,0,MISC.SALE (NON-TAX),"Sales, Merchandise Equip.",,0.0,0.0,0.0,0.0,0.0,0,,
66142,71614.0,,0,MISC.SALE (NON-TAX),"Sales, Merchandise Equip.",,0.0,0.0,0.0,0.0,1.0,0,,
66143,64593.0,,0,MISC.SALE (NON-TAX),"Sales, Merchandise Equip.",,0.0,0.0,0.0,0.0,2.0,0,,
66144,64595.0,,0,MISC. SALE (TAXABLE),Miscellaneous Tool,,0.0,0.0,0.0,0.0,0.0,0,,
66145,64596.0,,0,MISC. SALE (TAXABLE),Miscellaneous Tool,,3.0,17.0,0.0,0.0,2.0,0,,
66146,64598.0,,0,EMPLOYEE LABOR RATE/PER HOUR,Labor - Repair Order,,0.0,0.0,0.0,20.0,0.0,0,,
66147,64599.0,,0,EMPLOYEE LABOR RATE/PER HOUR,Labor - Repair Order,,0.0,0.0,0.0,20.0,2.0,0,,
66152,64607.0,,0,SHOP SUPPLIES,STORE FEES & DISCOUNTS,,0.0,0.0,0.0,10.0,0.0,0,,
66154,64610.0,,0,DRYWALL SCREWDRIVER BITS,"Sales, Merchandise Equip.",,0.0,0.0,0.0,0.55,0.0,0,,
66155,64611.0,,0,DRYWALL SCREWDRIVER BITS,"Sales, Merchandise Equip.",,0.0,0.0,0.0,0.55,2.0,0,,
66156,64613.0,,0,LARGE BAND SAW BLADES,"Sales, Merchandise Equip.",,0.0,0.0,0.0,21.95,0.0,0,,
66157,64614.0,,0,LARGE BAND SAW BLADES,"Sales, Merchandise Equip.",,0.0,0.0,0.0,21.95,2.0,0,,
66158,64616.0,,0,ROCK DRILL BITS,"Sales, Merchandise Equip.",,0.0,0.0,0.0,7.5,0.0,0,,
66159,64617.0,,0,ROCK DRILL BITS,"Sales, Merchandise Equip.",,0.0,0.0,0.0,7.5,2.0,0,,
66160,64619.0,,0,METAL BANDING MATERIAL,"Sales, Merchandise Equip.",,0.0,0.0,0.0,1.75,0.0,0,,
66161,64620.0,,0,METAL BANDING MATERIAL,"Sales, Merchandise Equip.",,0.0,13.0,0.0,1.75,2.0,0,,
66162,64622.0,,0,BANDING CLIPS,"Sales, Merchandise Equip.",,0.0,0.0,0.0,0.03,0.0,0,,
66163,64623.0,,0,BANDING CLIPS,"Sales, Merchandise Equip.",,0.0,18.0,0.0,0.03,2.0,0,,
66164,64628.0,,0,LP TANK OUT_____IN______      ___,"Sales, Merchandise Equip.",,0.0,0.0,0.0,0.99,0.0,0,,
66165,64629.0,,0,LP TANK OUT_____IN______      ___,"Sales, Merchandise Equip.",,4.0,228.0,0.0,0.99,2.0,0,,
66166,64631.0,,0,40# LP TANK/PER LB./TANK IN  ____,"Sales, Merchandise Equip.",,0.0,0.0,0.0,0.99,0.0,0,,
66167,64632.0,,0,40# LP TANK/PER LB./TANK IN  ____,"Sales, Merchandise Equip.",,0.0,0.0,0.0,0.99,2.0,0,,
66168,64634.0,,0,20# LP TANK/PER LB./TANK IN  ____,"Sales, Merchandise Equip.",,0.0,0.0,0.0,0.99,0.0,0,,
66169,64635.0,,0,20# LP TANK/PER LB./TANK IN  ____,"Sales, Merchandise Equip.",,0.0,0.0,0.0,0.99,2.0,0,,
66170,64637.0,,0,4 PRONG LITE ADAPTER,"Sales, Merchandise Equip.",,0.0,0.0,0.0,7.95,0.0,0,,
