KVC Companies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Actual Monthly Cashflow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,% Tot Rev,PEG Target,,,,,,,,,,,,,,,,,
,June,July,August,September,October,November,December,TTM,January,February,March,April,May,June,July,August,September,October,November,December,TTM,January,February,March,April,May,June,July,August,September,October,November,December,TTM,January,February,March,April,May,June,July,August,September,October,November,December,January,February,March,April,May,June,July,TTM,,,T13_24M,January,February,March,April,May,June,July,August,September,October,November,December,TTM,% Tot Rev,PEG Targets,
,2021,2021,2021,2021,2021,2021,2021,,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2025,2025,2025,2025,2025,2025,2025,,,,,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,,,,
Other Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damage Waiver Fees,"22,112","16,130","17,654","17,768","14,478","8,333","3,320","99,795","2,385","2,965","3,217","4,803","15,408","20,259","14,592","15,755","17,466","17,785","7,292","4,348","126,275","3,948","3,284","4,387","6,361","19,047","21,647","17,328","17,225","15,213","16,339","10,001","5,075","139,855","2,610","4,665","5,013","12,594","19,916","30,708","20,136","21,337","20,443","21,818","9,896","5,616","3,789","4,729","4,821","14,755","21,026","37,825","20,752","186,807",4.6%,4.0%,"159,495","4,375","5,125","6,250","10,000","22,000","29,250","19,000","21,500","21,750","20,250","11,000","8,500","179,000",4.0%,4.0%,
Sale New Equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,812,"3,397","3,580","4,148","5,499","8,419","5,124","7,746","4,689","7,679","5,674","1,721","1,711","1,641","3,403","6,324","5,535","5,875","3,804","55,802",,,"30,979","5,000","5,000","5,000","5,000","7,500","10,000","7,500","10,000","10,000","10,000","5,000","2,500","82,500",,,
Sale Used Equipment,"3,898","1,279","1,395","3,464","27,483","4,161","12,333","54,013",0,0,"8,775",632,"29,948","22,076",112,"44,675","29,556","1,187","9,360","2,276","148,597","24,500",,,162,"1,127","39,546","4,744","1,865","1,059",93,"18,314","52,741","144,151",73,"7,500",63,"3,450","8,558","13,273",,"24,955","-7,422",169,"42,549","17,715",168,150,,0,"46,129","45,727",147,"170,287",4.2%,,"106,989",,,,"15,000","15,000","50,000","15,000","15,000","15,000","50,000",,,"175,000",3.9%,,
Total Revenue,"543,199","443,287","523,628","490,953","430,292","263,993","154,401","2,849,753","77,702","97,223","152,866","178,592","401,385","609,220","379,955","494,993","485,099","425,461","209,076","155,118","3,666,690","131,333","104,958","133,233","177,177","437,616","607,701","384,806","476,062","406,608","390,357","247,838","222,105","3,719,794","104,159","125,197","127,055","243,088","482,688","682,686","456,111","524,938","498,428","454,917","282,730","210,420","106,000","119,772","138,042","249,006","437,691","678,413","388,578","4,088,935",100.0%,,"3,963,954","118,375","134,125","158,250","254,000","539,500","747,750","469,500","530,000","539,750","530,750","255,500","203,500","4,481,000",100.0%,,
COGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merchandise,"11,110","14,833","12,054","10,137","8,820","10,371","6,674","73,999","5,593","5,803","5,612","7,539","14,351","14,462","8,068","10,008","53,003","11,949","5,271","3,052","144,711","4,409","4,528","2,572","3,221","10,724","11,542","9,051","7,392","7,200","6,608","5,804","3,890","76,941",868,"6,962","8,260","12,337","13,620","14,287","17,367","19,175","12,515","13,651","14,236","9,026","2,817","6,746","11,622","9,103","19,108","11,737","15,000","144,736",3.5%,,"104,595","5,000","5,000","10,000","10,000","15,000","15,000","15,000","15,000","15,000","10,000","5,000","5,000","125,000",2.8%,,
Repair Parts,"4,449","10,557","20,849","12,010","9,143","12,122","14,801","83,931","14,877","7,550","12,787","10,004","14,480","12,935","8,397","10,582","11,401","11,171","16,699","8,660","139,543","5,230","4,330","3,637","9,544","11,232","7,739","13,755","7,290","8,874","8,103","5,210","7,984","92,928","3,679","6,011","12,585","11,527","16,457","13,817","9,279","13,062","7,382","12,546","6,901","6,476","7,182","5,567","7,869","6,617","14,316","14,682","10,000","112,600",2.8%,5.0%,"110,816","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","120,000",2.7%,5.0%,
Shop Supplies,"2,044",808,448,"2,141","3,180","4,515","1,642","14,778","1,907","2,893","2,125","2,938","2,761","1,695",907,"1,507",780,735,"1,161",997,"20,406",690,"1,347","1,533","3,902","1,985","2,722",615,959,967,"3,467",768,878,"19,833","8,608","1,987","2,925","2,424","5,128","3,187","3,610","2,985","1,504","1,766","2,005","1,422","2,426","2,683","2,843","2,389","7,061","3,402","2,500","32,986",0.8%,0.5%,"34,908","1,500","1,500","1,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","1,500","26,000",0.6%,0.5%,
Vehicle Fuel,"1,836","9,671","2,427","4,235","2,791","6,148","4,247","31,355","1,604","1,089","1,689","1,870","4,445","5,848","2,197","6,822","4,416","1,411","3,265","1,582","36,238","2,040",667,"1,511","1,343","4,423","3,605","2,838","4,332","5,278","1,183","2,607","2,159","31,986","1,656",824,"1,508","1,298","4,962","4,081","3,505","2,977","4,339","3,386",781,"1,781","1,223","1,043","1,704",993,"3,038","3,752","3,000","28,017",0.7%,1.0%,"33,393","1,500","1,500","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","1,500","1,500","30,000",0.7%,1.0%,
Shop Oil & Gas,121,"1,558","2,323","3,658","4,114",69,"1,808","13,651","2,534","1,463","1,317","1,337","5,003","4,259","3,704","2,811","3,124","2,819","3,132","1,020","32,523","1,710","2,689",428,"1,605","3,594","2,997","2,525","1,605",648,"2,798","1,116",607,"22,322","1,009",484,"1,237","2,892","2,199","2,436",971,"2,876","2,029","1,237","2,400","2,692","1,384",80,564,"1,435","1,403","4,344","2,000","22,444",0.5%,,"18,002","1,000","1,000","1,000","2,000","2,000","2,000","2,000","2,000","2,000","1,000","1,000","1,000","18,000",0.4%,,
Subrent/Leased Equip,"1,597","3,850",175,302,284,"1,015",207,"7,430",138,138,144,5,489,"8,920","4,340","2,086","3,392","4,209","4,298","2,825","30,984",273,0,285,"1,293","4,840","4,481",620,"3,984","1,895","2,802","6,012",137,"26,622",0,319,290,144,"3,261","3,661","5,729","11,707","6,124","12,343","11,246","2,963",180,137,137,158,137,137,"7,000","52,269",1.3%,,"28,234","1,000","1,000","1,000","1,000","3,500","3,500","7,000","10,000","7,000","10,000","10,000","1,000","56,000",1.2%,,
Employee Uniforms,0,"2,650","1,853","1,436","1,890","1,427","1,850","11,106","1,850","1,480","1,460","2,216","5,565","2,376","1,873","1,553","1,281","1,283","2,039","1,241","24,217","1,099","2,751",0,"3,259","1,054","4,176","2,140","1,079","1,336","1,228","2,042","1,285","21,449",205,924,"3,200","2,948","1,701","2,911","1,980","2,526","1,671","1,744","1,949","1,433","1,581","2,187","2,516","3,366","1,517","2,108","2,000","24,598",0.6%,,"20,839","2,000","2,000","3,000","3,000","2,000","2,000","2,000","2,000","1,500","1,500","1,500","1,500","24,000",0.5%,,
Freight,223,988,512,341,675,738,"2,290","5,767",150,"1,020","1,676","1,654",289,574,"1,629",384,-477,608,708,142,"8,357",62,102,150,66,"3,180","1,535",492,749,218,"4,088",214,50,"10,906",0,74,"1,827","2,289","1,531","1,150","4,043",761,518,439,30,41,0,61,68,224,445,395,"1,000","3,982",0.1%,,"16,233",500,500,"2,000","2,000","2,000","1,000","1,000","1,000","1,000",500,500,500,"12,500",0.3%,,
Outside Repairs,0,0,33,800,532,"8,000",898,"10,263","5,022","2,502","2,833","-1,620",992,"2,666","1,514","1,448","5,479","1,806",0,"2,720","25,362",416,336,0,643,0,609,"6,691",495,0,"1,637",0,"4,262","15,089","4,462","3,180",0,386,"6,238","2,079",0,"1,672","1,314","2,731","1,000","2,285","3,601","2,170",0,"1,047","1,725","1,401","1,500","20,446",0.5%,,"22,739","1,500","1,500","1,500","1,500","1,500","1,500","1,500","1,500","1,500","1,500","1,500","1,500","18,000",0.4%,,
New Small Equip,"2,425","1,512",133,"1,077","1,649","16,038","13,860","36,694","7,982","3,042","7,582",569,293,491,"2,066","1,651","1,897",359,428,563,"26,923",0,926,"3,057","6,674","21,280",169,"1,225","14,546","8,690","7,148",373,0,"64,088","1,663",0,949,"8,778","6,554","3,126","3,031","11,478","1,703",770,247,53,0,0,0,"8,015","12,986","2,478","5,000","42,730",1.0%,3.0%,"54,858","2,500","2,500","5,000","5,000","5,000","5,000","5,000","5,000","7,500","2,500","2,500","2,500","50,000",1.1%,3.0%,
Direct Costs,"10,292","21,122","19,801","19,253","18,584","17,512","13,867","120,431","17,185","9,848","3,750","5,818","6,941","18,177","22,470","16,912","19,411","18,664","16,587","13,333","169,096","11,220","16,288","11,975","1,491","8,687","23,755","19,960","18,448","18,953","17,751","13,823","14,202","176,553","12,421","16,888","12,904","17,667","6,486","20,218","19,724","17,931","20,603","18,690","11,800","15,313","13,215","13,875","5,391","18,348","16,250","20,423","20,000","191,839",4.7%,,"189,485","10,000","10,000","10,000","15,000","15,000","20,000","20,000","20,000","20,000","20,000","20,000","10,000","190,000",4.2%,,
Total COGS,"34,097","67,549","60,608","55,390","51,662","77,955","62,144","409,405","58,842","36,828","40,975","32,330","55,609","72,403","57,165","55,764","103,707","55,014","53,588","36,135","658,360","27,149","33,964","25,148","33,041","70,999","63,330","59,912","60,879","54,059","56,813","37,969","35,454","558,717","34,571","37,653","45,685","62,690","68,137","70,953","69,239","87,150","59,702","69,303","52,595","43,485","33,609","34,549","32,714","51,695","77,986","64,859","69,000","676,647",16.5%,,"634,102","36,500","36,500","48,000","55,000","61,500","65,500","69,000","72,000","71,000","62,500","56,000","36,000","669,500",14.9%,,
Gross Profit,"509,102","375,738","463,020","435,563","378,630","186,038","92,257","2,440,348","18,860","60,395","111,891","146,262","345,776","536,817","322,790","439,229","381,392","370,447","155,488","118,983","3,008,330","104,184","70,994","108,085","144,136","366,617","544,371","324,894","415,183","352,549","333,544","209,869","186,651","3,161,077","69,588","87,544","81,370","180,398","414,551","611,733","386,872","437,788","438,726","385,614","230,135","166,935","72,391","85,223","105,328","197,311","359,705","613,554","319,578","3,412,288",83.5%,60.0%,"3,329,852","81,875","97,625","110,250","199,000","478,000","682,250","400,500","458,000","468,750","468,250","199,500","167,500","3,811,500",85.1%,60.0%,
Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loan payments,0,"25,000","20,000","20,000","25,000","20,000","20,000","130,000","29,789","24,600","24,173","23,541","22,183","22,183","22,013","30,000","30,000","35,000","30,000","30,000","323,482","28,636","30,324","30,324","34,168","30,324","30,324","34,168","30,324","35,514","29,663","29,663","34,168","377,600","29,663","29,663","33,300","28,796","39,986","45,057","40,410","39,986","39,986","45,175","30,761","30,761","35,266","30,761","31,760","34,287","43,976","45,573","45,000","453,292",11.1%,9.0%,"406,207","35,000","30,000","30,000","35,000","40,000","40,000","45,000","40,000","40,000","45,000","40,000","30,000","450,000",10.0%,10.0%,
New Large Equip,0,"27,226",0,0,"5,968","68,742","35,468","137,404",0,"42,201","18,302",0,"47,321","82,640","45,416",0,0,0,0,0,"235,880","8,800",0,"41,425",0,"32,780","29,839","66,079","7,885",0,"118,972",0,0,"305,780",0,0,"33,610","15,988","11,288","7,856","76,637","16,242","24,950","7,927","25,200",0,0,0,0,"6,402","15,315","13,709","51,136","160,881",3.9%,12.0%,"272,236",0,0,0,0,"50,000","75,000","75,000","25,000",0,0,0,0,"225,000",5.0%,7.0%,
